OTU,Size,Phylum,Class,Order,Family,Genus
Otu02576,36,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02577,36,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Cerasicoccus
Otu02578,36,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02579,36,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02580,36,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu02581,36,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
Otu02582,36,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02583,36,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu02584,36,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02585,36,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02586,36,Planctomycetes,Phycisphaerae,Phycisphaerae,Phycisphaerae,Phycisphaerae
Otu02587,36,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria,Parcubacteria
Otu02588,36,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiales,Chromatiales
Otu02589,36,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02590,36,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02591,36,Planctomycetes,Planctomycetes,Planctomycetes,Planctomycetes,Planctomycetes
Otu02592,36,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02593,36,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria,Deltaproteobacteria
Otu02594,36,Acidobacteria,Acidobacteria_Gp16,Gp16,Gp,Gp
Otu02595,36,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria,Proteobacteria
Otu02596,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02597,35,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales,Acidimicrobiales
Otu02598,35,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02599,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02600,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02601,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02602,35,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes,Bacteroidetes
Otu02603,35,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02604,35,Acidobacteria,Acidobacteria_Gp10,Gp10,Gp0,Gp
Otu02605,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02606,35,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystaceae
Otu02607,35,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae
Otu02608,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02609,35,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae
Otu02610,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02611,35,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02612,35,Verrucomicrobia,Opitutae,Puniceicoccales,Puniceicoccaceae,Puniceicoccaceae
Otu02613,35,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Litoribacillus
Otu02614,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02615,35,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
Otu02616,35,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu02617,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02618,35,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwelliaceae
Otu02619,35,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria,Alphaproteobacteria
Otu02620,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02621,35,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
Otu02622,35,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae
Otu02623,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02624,35,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
Otu02625,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02626,35,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Salinispira
Otu02627,35,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02628,35,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
Otu02629,35,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces
Otu02630,35,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02631,35,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
