OTU,Size,Phylum,Class,Order,Family,Genus
Otu02783,32,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiales,Chlamydiales
Otu02784,32,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba
Otu02785,32,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
Otu02786,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02787,32,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02788,32,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02789,32,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter
Otu02790,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02791,32,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomycetaceae
Otu02792,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02793,32,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Blastopirellula
Otu02794,32,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
Otu02795,32,Bacteria,Bacteria,Bacteria,Bacteria,Bacteria
Otu02796,32,Actinobacteria,Actinobacteria,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter
