Frag.ID	Parent.ID	Treatment	Species	Time.Point
3137	359	High	Pavona_varians	T1
3149	372	High	Montipora_capitata	TF
3164	303	Ambient	Pocillopora_damicornis	TF
3204	370	High	Montipora_capitata	TF
3224	364	High	Montipora_capitata	TEnd
3246	353	Ambient	Pavona_varians	T1
3289	315	High	Porites_compressa	TEnd
3317	372	Ambient	Montipora_capitata	TF
3323	315	Ambient	Porites_compressa	TEnd
3337	315	Ambient	Porites_compressa	TF
3340	317	High	Porites_compressa	T1
3357	323	High	Porites_compressa	TEnd
3383	356	High	Pavona_varians	TF
3422	373	High	Montipora_capitata	TF
3442	318	Ambient	Porites_compressa	TF
3444	315	High	Porites_compressa	TF
3458	320	High	Porites_compressa	T1
3467	323	High	Porites_compressa	TF
3468	323	High	Porites_compressa	T1
3469	374	High	Montipora_capitata	T1
3470	364	High	Montipora_capitata	TF
3471	313	High	Porites_compressa	TF
3472	372	High	Montipora_capitata	T1
3473	372	High	Montipora_capitata	TF
3474	360	High	Pavona_varians	TF
3475	313	High	Porites_compressa	T1
3476	319	High	Porites_compressa	TF
3477	312	High	Pocillopora_damicornis	T1
3478	361	High	Pavona_varians	T1
3479	367	High	Montipora_capitata	T1
3480	314	High	Porites_compressa	TF
3481	312	High	Pocillopora_damicornis	TF
3482	373	High	Montipora_capitata	T1
3484	304	High	Pocillopora_damicornis	TF
3485	320	High	Porites_compressa	TF
3486	306	High	Pocillopora_damicornis	TF
3487	303	High	Pocillopora_damicornis	TF
3488	315	High	Porites_compressa	T1
3489	307	High	Pocillopora_damicornis	TEnd
3490	308	High	Pocillopora_damicornis	T1
3491	321	High	Porites_compressa	TF
3512	310	High	Pocillopora_damicornis	T1
3513	303	High	Pocillopora_damicornis	T1
3514	314	High	Porites_compressa	T1
3515	308	High	Pocillopora_damicornis	TF
3516	309	High	Pocillopora_damicornis	TF
3517	317	High	Porites_compressa	TF
3959	318	High	Porites_compressa	TEnd
301_TC	NA	NA	Pocillopora_damicornis	TC
301_TF	NA	NA	Pocillopora_damicornis	TF
301_T1	NA	NA	Pocillopora_damicornis	T1
302_TC	NA	NA	Pocillopora_damicornis	TC
302_TF	NA	NA	Pocillopora_damicornis	TF
302_T1	NA	NA	Pocillopora_damicornis	T1
303_TC	NA	NA	Pocillopora_damicornis	TC
303_TF	NA	NA	Pocillopora_damicornis	TF
303_T1	NA	NA	Pocillopora_damicornis	T1
304_TC	NA	NA	Pocillopora_damicornis	TC
304_TF	NA	NA	Pocillopora_damicornis	TF
304_T1	NA	NA	Pocillopora_damicornis	T1
305_TC	NA	NA	Pocillopora_damicornis	TC
305_TF	NA	NA	Pocillopora_damicornis	TF
305_T1	NA	NA	Pocillopora_damicornis	T1
306_TC	NA	NA	Pocillopora_damicornis	TC
306_TF	NA	NA	Pocillopora_damicornis	TF
306_T1	NA	NA	Pocillopora_damicornis	T1
307_TC	NA	NA	Pocillopora_damicornis	TC
307_TF	NA	NA	Pocillopora_damicornis	TF
307_T1	NA	NA	Pocillopora_damicornis	T1
308_TC	NA	NA	Pocillopora_damicornis	TC
308_TF	NA	NA	Pocillopora_damicornis	TF
308_T1	NA	NA	Pocillopora_damicornis	T1
309_TC	NA	NA	Pocillopora_damicornis	TC
309_TF	NA	NA	Pocillopora_damicornis	TF
309_T1	NA	NA	Pocillopora_damicornis	T1
310_TC	NA	NA	Pocillopora_damicornis	TC
310_TF	NA	NA	Pocillopora_damicornis	TF
310_T1	NA	NA	Pocillopora_damicornis	T1
311_TC	NA	NA	Pocillopora_damicornis	TC
311_TF	NA	NA	Pocillopora_damicornis	TF
311_T1	NA	NA	Pocillopora_damicornis	T1
312_TC	NA	NA	Pocillopora_damicornis	TC
312_TF	NA	NA	Pocillopora_damicornis	TF
312_T1	NA	NA	Pocillopora_damicornis	T1
313_TC	NA	NA	Porites_compressa	TC
313_TF	NA	NA	Porites_compressa	TF
313_T1	NA	NA	Porites_compressa	T1
314_TC	NA	NA	Porites_compressa	TC
314_TF	NA	NA	Porites_compressa	TF
314_T1	NA	NA	Porites_compressa	T1
315_TC	NA	NA	Porites_compressa	TC
315_TF	NA	NA	Porites_compressa	TF
315_T1	NA	NA	Porites_compressa	T1
316_TC	NA	NA	Porites_compressa	TC
316_TF	NA	NA	Porites_compressa	TF
316_T1	NA	NA	Porites_compressa	T1
317_TC	NA	NA	Porites_compressa	TC
317_TF	NA	NA	Porites_compressa	TF
317_T1	NA	NA	Porites_compressa	T1
318_TC	NA	NA	Porites_compressa	TC
318_TF	NA	NA	Porites_compressa	TF
318_T1	NA	NA	Porites_compressa	T1
319_TC	NA	NA	Porites_compressa	TC
319_TF	NA	NA	Porites_compressa	TF
319_T1	NA	NA	Porites_compressa	T1
320_TC	NA	NA	Porites_compressa	TC
320_TF	NA	NA	Porites_compressa	TF
320_T1	NA	NA	Porites_compressa	T1
321_TC	NA	NA	Porites_compressa	TC
321_TF	NA	NA	Porites_compressa	TF
321_T1	NA	NA	Porites_compressa	T1
322_TC	NA	NA	Porites_compressa	TC
322_TF	NA	NA	Porites_compressa	TF
322_T1	NA	NA	Porites_compressa	T1
323_TC	NA	NA	Porites_compressa	TC
323_TF	NA	NA	Porites_compressa	TF
323_T1	NA	NA	Porites_compressa	T1
324_TC	NA	NA	Porites_compressa	TC
324_TF	NA	NA	Porites_compressa	TF
324_T1	NA	NA	Porites_compressa	T1
325_TC	NA	NA	Pavona_varians	TC
325_TF	NA	NA	Pavona_varians	TF
325_T1	NA	NA	Pavona_varians	T1
351_TC	NA	NA	Pavona_varians	TC
351_TF	NA	NA	Pavona_varians	TF
351_T1	NA	NA	Pavona_varians	T1
352_TC	NA	NA	Pavona_varians	TC
352_TF	NA	NA	Pavona_varians	TF
352_T1	NA	NA	Pavona_varians	T1
353_TC	NA	NA	Pavona_varians	TC
353_TF	NA	NA	Pavona_varians	TF
353_T1	NA	NA	Pavona_varians	T1
354_TC	NA	NA	Pavona_varians	TC
354_TF	NA	NA	Pavona_varians	TF
